Time (sec),SetpointLivingZone,Text.T
477000,21,2.92328
477900,21,2.93889
478800,21,2.95444
479700,21,2.96993
480600,21,2.98537
481500,21,3.00075
482400,21,3.01608
483300,21,3.03134
484200,21,3.04655
485100,21,3.0617
486000,21,3.07679
486900,21,3.09182
487800,21,3.10679
488700,21,3.12169
489600,21,3.13654
490500,21,3.15133
491400,21,3.16606
492300,21,3.18072
493200,21,3.19532
494100,21,3.20986
495000,21,3.22434
495900,21,3.23875
496800,21,3.2531
497700,21,3.26738
498600,21,3.2816
499500,21,3.29576
500400,21,3.30985
501300,21,3.32387
502200,21,3.33783
503100,21,3.35172
504000,21,3.36554
504900,21,3.3793
505800,21,3.39299
506700,21,3.40661
507600,21,3.42016
508500,21,3.43364
509400,21,3.44705
510300,16,3.46039
511200,16,3.47367
512100,16,3.48687
513000,16,3.5
513900,16,3.5126
514800,16,3.52422
515700,16,3.53491
516600,16,3.54468
517500,16,3.55357
518400,16,3.56162
519300,16,3.56884
520200,16,3.57528
521100,16,3.58097
522000,16,3.58593
522900,16,3.5902
523800,16,3.59381
524700,16,3.59679
525600,16,3.59916
526500,16,3.60097
527400,16,3.60225
528300,16,3.60302
529200,16,3.60331
530100,16,3.60316
531000,16,3.6026
531900,16,3.60165
532800,16,3.60036
533700,16,3.59875
534600,16,3.59685
535500,16,3.5947
536400,16,3.59232
537300,16,3.58974
538200,16,3.58701
539100,16,3.58414
540000,16,3.58117
540900,16,3.57813
541800,16,3.57505
542700,16,3.57197
543600,21,3.56891
544500,21,3.56591
545400,21,3.56299
546300,21,3.56019
547200,21,3.55754
548100,21,3.55507
549000,21,3.55281
549900,21,3.5508
550800,21,3.54905
551700,21,3.54762
552600,21,3.54651
553500,21,3.54578
554400,21,3.54544
555300,21,3.54554
556200,21,3.54609
557100,21,3.54713
558000,21,3.5487
558900,21,3.55082
559800,21,3.55353
560700,21,3.55685
561600,21,3.56083
562500,21,3.56548
563400,21,3.57084
564300,21,3.57694
565200,21,3.58381
566100,21,3.59149
567000,21,3.6
567900,21,3.60898
568800,21,3.61804
569700,21,3.62719
570600,21,3.63642
571500,21,3.64573
572400,21,3.65513
573300,21,3.66461
574200,21,3.67417
575100,21,3.68382
576000,21,3.69356
576900,21,3.70338
577800,21,3.71329
578700,21,3.72329
579600,21,3.73338
580500,21,3.74355
581400,21,3.75381
582300,21,3.76416
583200,21,3.77461
584100,21,3.78514
585000,21,3.79576
585900,21,3.80647
586800,21,3.81727
587700,21,3.82817
588600,21,3.83916
589500,21,3.85024
590400,21,3.86141
591300,21,3.87268
592200,21,3.88404
593100,21,3.89549
594000,21,3.90705
594900,21,3.91869
595800,21,3.93043
596700,16,3.94227
597600,16,3.95421
598500,16,3.96624
599400,16,3.97837
600300,16,3.9906
601200,16,4.00293
602100,16,4.01535
603000,16,4.02788
603900,16,4.0405
604800,16,4.05323
605700,16,4.06606
606600,16,4.07899
607500,16,4.09202
608400,16,4.10515
609300,16,4.11838
610200,16,4.13172
611100,16,4.14517
612000,16,4.15871
612900,16,4.17236
613800,16,4.18612
614700,16,4.19998
615600,16,4.21395
616500,16,4.22802
617400,16,4.2422
618300,16,4.25649
619200,16,4.27088
